gender,height,hand_size,foot_size
1,171.0,188,253
1,179.3,187,254
1,163.9,176,232
1,175.3,194,256
1,173.4,190,261
1,177.2,195,252
1,177.2,191,267
1,175.8,189,259
1,177.3,183,263
1,177.2,184,266
1,176.2,178,242
1,176.5,197,269
1,175.8,180,260
1,184.6,193,255
1,177.9,189,256
1,182.2,191,274
1,174.4,192,266
1,176.1,185,267
1,166.4,178,228
1,176.6,185,249
1,184.2,196,252
1,178.4,194,268
1,166.3,170,232
1,187.2,196,267
1,170.3,176,238
1,178.6,178,243
1,175.5,179,255
1,179.9,194,253
1,180.4,190,253
1,173.4,189,255
1,171.8,180,249
1,171.6,191,255
1,171.2,178,254
1,166.8,176,243
1,174.5,186,239
1,176.5,191,264
1,175.8,180,260
1,172.5,180,254
1,184.1,188,262
1,184.9,193,275
1,175.0,186,259
1,185.4,193,269
1,178.8,195,272
1,175.4,182,261
1,172.9,179,255
0,158.7,168,230
0,153.6,163,222
0,163.6,177,244
0,165.2,183,242
0,153.1,160,222
0,165.4,169,244
0,158.9,167,232
0,162.7,172,228
0,155.2,166,232
0,160.6,173,236
0,169.3,185,249
0,153.7,172,238
0,157.9,169,227
0,170.6,184,243
0,173.6,180,257
0,157.8,160,218
0,167.9,165,240
0,163.5,169,247
0,155.5,167,220
0,157.4,159,217
0,162.3,170,223
0,168.9,179,248
0,162.8,176,235
0,163.1,164,224
0,144.4,155,205
0,154.6,164,221
0,160.1,161,229
0,167.0,175,229
0,159.4,166,228
0,158.7,156,226
0,164.9,174,245
0,159.7,168,234
0,159.7,159,213
0,153.3,159,219
0,164.4,173,236
0,170.3,182,244
0,162.6,177,241
0,162.3,161,230
0,160.8,167,225
0,158.3,162,225
0,166.2,177,241
0,159.6,171,231
0,160.2,162,235
0,160.8,169,225
0,159.6,171,231
0,158.9,167,226
0,164.9,175,234
0,158.9,161,235
0,162.0,161,220
0,163.8,172,227
0,160.7,161,222
0,163.2,168,228
0,156.6,160,218
0,164.6,165,213
0,165.1,179,237
0,167.1,171,225
0,154.6,162,228
0,159.0,173,230
0,154.4,168,228
0,160.0,172,240
0,155.6,160,216
0,157.8,165,225
0,162.1,170,217
0,152.1,156,218
0,164.0,178,246
0,158.4,163,224
0,163.6,176,236
0,155.9,164,221
0,168.6,169,227
0,153.7,165,229
0,160.1,171,234
0,161.2,174,236
0,160.0,172,232
0,158.1,166,222
0,156.9,162,215
0,152.8,167,224
0,164.5,172,234
0,167.0,173,230
0,159.0,160,236
0,158.5,158,221
0,164.3,175,235
0,156.2,157,211
0,160.0,164,228
0,163.0,168,240
0,157.4,169,235
0,156.8,172,235
0,156.9,161,234
0,164.3,171,238
0,165.1,174,240
0,162.1,171,230
0,166.5,176,243
0,155.4,165,228
0,157.1,170,218
0,164.2,165,235
0,171.3,179,239
0,161.9,169,225
0,162.5,176,234
0,156.5,167,213
0,162.5,164,227
0,161.3,168,223
0,170.0,183,254
0,161.1,176,240
0,156.0,171,227
0,167.3,182,250
0,162.9,169,238
0,155.6,169,222
0,163.8,170,239
0,164.3,171,236
0,165.6,183,245
